Baseline,Comparison,Value
Hebrew,Cantonese,-2.23
Turkish,Hindi,-2.23
Vietnamese,Hindi,-2.25
Hebrew,Singaporean,-2.29
Cantonese,Hindi,-2.33
Cantonese,Indonesian,-2.33
German,Vietnamese,-2.4
Vietnamese,Gujurati,-2.4
Turkish,Taiwanese,-2.41
Cantonese,German,-2.43
Br. Portuguese,Indonesian,-2.44
Cantonese,Greek,-2.46
Korean,Hindi,-2.48
Turkish,Vietnamese,-2.58
Turkish,Singaporean,-2.59
German,Mandarin,-2.67
Mandarin,Hindi,-2.72
Hebrew,Taiwanese,-2.75
Vietnamese,German,-2.88
Br. Portuguese,Singaporean,-2.95
German,Taiwanese,-2.97
Hindi,Taiwanese,-3.1
Vietnamese,Turkish,-3.4
